LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Picea mariana	41927	Picea mariana	1840335	14947671			3007	External Observation ID	ObservationID	18168											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Picea mariana	41927	Picea mariana	1840335	14947673			3726	Tolerance to waterlogging: comment	Comments	Standard Error											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Abies balsamea	32	Abies balsamea	1840757	14948937			3007	External Observation ID	ObservationID	18590											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Abies balsamea	32	Abies balsamea	1840757	14948939			3726	Tolerance to waterlogging: comment	Comments	Standard Error											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Picea mariana	41927	Picea mariana	1841125	14950038			3007	External Observation ID	ObservationID	18958											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Abies balsamea	32	Abies balsamea	1841332	14950452			3007	External Observation ID	ObservationID	19165											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Picea mariana	41927	Picea mariana	1841915	14951618			3007	External Observation ID	ObservationID	19748											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Wirth	Christian	68	The Functional Ecology of Trees (FET) Database  - Jena	Abies balsamea	32	Abies balsamea	1842337	14952462			3007	External Observation ID	ObservationID	20170											Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.	x		
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451003			469	Identifier within contributed dataset (ID)	ID	R03542											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
Pausas	Juli	474	BROT 2.0	Pinus nigra Arnold	41927	Picea mariana	5949406	57451004			2992	Taxon ID in contributing dataset	TaxonID	3661											Tavsanoglu C. & Pausas J.G. 2018. A functional trait database for Mediterranean Basin plants. Scientific Data 5:180135. http://dx.doi.org/10.1038/sdata.2018.135			
