Year,Month,Variable,eco1
1964,3,Tmax,-5.352728271484352
1964,4,Tmax,2.843682861328148
1964,5,Tmax,10.161096191406273
1964,6,Tmax,15.717279052734398
1964,7,Tmax,21.136987304687523
1964,8,Tmax,18.880426025390648
1964,9,Tmax,13.521813964843773
1964,10,Tmax,5.995599365234398
1964,11,Tmax,-1.6338562011718525
1964,12,Tmax,-7.308721923828102
1965,1,Tmax,-10.590551757812475
1965,2,Tmax,-8.860449218749977
1965,3,Tmax,-4.734045410156227
1965,4,Tmax,1.0782409667968975
1965,5,Tmax,12.769006347656273
1965,6,Tmax,20.149377441406276
1965,7,Tmax,23.614038085937523
1965,8,Tmax,18.715875244140648
1965,9,Tmax,13.989739990234398
1965,10,Tmax,7.179345703125023
1965,11,Tmax,-1.0226501464843525
1965,12,Tmax,-6.668737792968727
1966,1,Tmax,-8.373327636718727
1966,2,Tmax,-1.0905517578124773
1966,3,Tmax,-0.9156860351562272
1966,4,Tmax,4.819818115234398
1966,5,Tmax,9.481561279296898
1966,6,Tmax,16.187066650390648
1966,7,Tmax,22.202050781250023
1966,8,Tmax,20.353051757812523
1966,9,Tmax,14.325891113281273
1966,10,Tmax,8.198541259765648
1966,11,Tmax,2.332208251953148
1966,12,Tmax,-6.013983154296852
1967,1,Tmax,-11.473516845703102
1967,2,Tmax,-9.669439697265602
1967,3,Tmax,-0.8241638183593523
1967,4,Tmax,2.9328552246093977
1967,5,Tmax,10.634881591796898
1967,6,Tmax,18.355157470703148
1967,7,Tmax,21.324487304687523
1967,8,Tmax,18.714227294921898
1967,9,Tmax,13.841333007812525
1967,10,Tmax,5.191522216796898
1967,11,Tmax,-0.5874999999999773
1967,12,Tmax,-7.276861572265602
1968,1,Tmax,-10.376135253906227
1968,2,Tmax,-6.509313964843727
1968,3,Tmax,-4.206427001953102
1968,4,Tmax,5.069818115234398
1968,5,Tmax,13.942681884765648
1968,6,Tmax,18.045678710937523
1968,7,Tmax,21.4787536621094
1968,8,Tmax,20.3251892089844
1968,9,Tmax,15.927026367187525
1968,10,Tmax,7.939416503906273
1968,11,Tmax,-1.6551574707031025
1968,12,Tmax,-6.707586669921852
1969,1,Tmax,-10.998541259765602
1969,2,Tmax,-7.814550781249977
1969,3,Tmax,-4.873785400390602
1969,4,Tmax,3.7891479492187727
1969,5,Tmax,11.567468261718773
1969,6,Tmax,17.849298095703148
1969,7,Tmax,20.532830810546898
1969,8,Tmax,20.026971435546898
1969,9,Tmax,16.317224121093773
1969,10,Tmax,6.585015869140648
1969,11,Tmax,0.2875000000000227
1969,12,Tmax,-3.994329833984352
1970,1,Tmax,-11.285528564453102
1970,2,Tmax,-4.612066650390602
1970,3,Tmax,-8.518682861328102
1970,4,Tmax,1.0033203125000227
1970,5,Tmax,8.642846679687523
1970,6,Tmax,16.268304443359398
1970,7,Tmax,21.556237792968773
1970,8,Tmax,23.375756835937523
1970,9,Tmax,12.060906982421898
1970,10,Tmax,6.983666992187523
1970,11,Tmax,0.9890380859375228
1970,12,Tmax,-7.055883789062477
