Year,Month,Variable,eco1
1964,3,PAR,645.0354095284299
1964,4,PAR,855.8979722474826
1964,5,PAR,956.658037084818
1964,6,PAR,997.7942646373551
1964,7,PAR,997.7786953835861
1964,8,PAR,862.5692780577073
1964,9,PAR,631.5694744931035
1964,10,PAR,370.08552466270027
1964,11,PAR,236.36103922873775
1964,12,PAR,193.6771259877535
1965,1,PAR,244.610065993255
1965,2,PAR,407.4886174985403
1965,3,PAR,645.0354095284299
1965,4,PAR,855.8979722474826
1965,5,PAR,956.658037084818
1965,6,PAR,997.7942646373551
1965,7,PAR,997.7786953835861
1965,8,PAR,862.5692780577073
1965,9,PAR,631.5694744931035
1965,10,PAR,370.08552466270027
1965,11,PAR,236.36103922873775
1965,12,PAR,193.6771259877535
1966,1,PAR,244.610065993255
1966,2,PAR,407.4886174985403
1966,3,PAR,645.0354095284299
1966,4,PAR,855.8979722474826
1966,5,PAR,956.658037084818
1966,6,PAR,997.7942646373551
1966,7,PAR,997.7786953835861
1966,8,PAR,862.5692780577073
1966,9,PAR,631.5694744931035
1966,10,PAR,370.08552466270027
1966,11,PAR,236.36103922873775
1966,12,PAR,193.6771259877535
1967,1,PAR,244.610065993255
1967,2,PAR,407.4886174985403
1967,3,PAR,645.0354095284299
1967,4,PAR,855.8979722474826
1967,5,PAR,956.658037084818
1967,6,PAR,997.7942646373551
1967,7,PAR,997.7786953835861
1967,8,PAR,862.5692780577073
1967,9,PAR,631.5694744931035
1967,10,PAR,370.08552466270027
1967,11,PAR,236.36103922873775
1967,12,PAR,193.6771259877535
1968,1,PAR,244.610065993255
1968,2,PAR,407.4886174985403
1968,3,PAR,645.0354095284299
1968,4,PAR,855.8979722474826
1968,5,PAR,956.658037084818
1968,6,PAR,997.7942646373551
1968,7,PAR,997.7786953835861
1968,8,PAR,862.5692780577073
1968,9,PAR,631.5694744931035
1968,10,PAR,370.08552466270027
1968,11,PAR,236.36103922873775
1968,12,PAR,193.6771259877535
1969,1,PAR,244.610065993255
1969,2,PAR,407.4886174985403
1969,3,PAR,645.0354095284299
1969,4,PAR,855.8979722474826
1969,5,PAR,956.658037084818
1969,6,PAR,997.7942646373551
1969,7,PAR,997.7786953835861
1969,8,PAR,862.5692780577073
1969,9,PAR,631.5694744931035
1969,10,PAR,370.08552466270027
1969,11,PAR,236.36103922873775
1969,12,PAR,193.6771259877535
1970,1,PAR,244.610065993255
1970,2,PAR,407.4886174985403
1970,3,PAR,645.0354095284299
1970,4,PAR,855.8979722474826
1970,5,PAR,956.658037084818
1970,6,PAR,997.7942646373551
1970,7,PAR,997.7786953835861
1970,8,PAR,862.5692780577073
1970,9,PAR,631.5694744931035
