Year,Month,Variable,eco1
1935,12,Tmax,-6.214716954385058
1936,1,Tmax,-8.56369924237649
1936,2,Tmax,-7.716896500125985
1936,3,Tmax,-2.5314648043724572
1936,4,Tmax,3.7787660660282487
1936,5,Tmax,11.064961882560507
1936,6,Tmax,17.395305805821597
1936,7,Tmax,22.0982614824849
1936,8,Tmax,20.22086142263107
1936,9,Tmax,15.09889841387351
1936,10,Tmax,7.094706676852342
1936,11,Tmax,-0.08903966103828376
1936,12,Tmax,-6.214716954385058
1937,1,Tmax,-8.56369924237649
1937,2,Tmax,-7.716896500125985
1937,3,Tmax,-2.5314648043724572
1937,4,Tmax,3.7787660660282487
1937,5,Tmax,11.064961882560507
1937,6,Tmax,17.395305805821597
1937,7,Tmax,22.0982614824849
1937,8,Tmax,20.22086142263107
1937,9,Tmax,15.09889841387351
1937,10,Tmax,7.094706676852342
1937,11,Tmax,-0.08903966103828376
1937,12,Tmax,-6.214716954385058
1938,1,Tmax,-8.56369924237649
1938,2,Tmax,-7.716896500125985
1938,3,Tmax,-2.5314648043724572
1938,4,Tmax,3.7787660660282487
1938,5,Tmax,11.064961882560507
1938,6,Tmax,17.395305805821597
1938,7,Tmax,22.0982614824849
1938,8,Tmax,20.22086142263107
1938,9,Tmax,15.09889841387351
1938,10,Tmax,7.094706676852342
1938,11,Tmax,-0.08903966103828376
1938,12,Tmax,-6.214716954385058
1939,1,Tmax,-8.56369924237649
1939,2,Tmax,-7.716896500125985
1939,3,Tmax,-2.5314648043724572
1939,4,Tmax,3.7787660660282487
1939,5,Tmax,11.064961882560507
1939,6,Tmax,17.395305805821597
1939,7,Tmax,22.0982614824849
1939,8,Tmax,20.22086142263107
1939,9,Tmax,15.09889841387351
1939,10,Tmax,7.094706676852342
1939,11,Tmax,-0.08903966103828376
1939,12,Tmax,-6.214716954385058
1940,1,Tmax,-8.56369924237649
1940,2,Tmax,-7.716896500125985
1940,3,Tmax,-2.5314648043724572
1940,4,Tmax,3.7787660660282487
1940,5,Tmax,11.064961882560507
1940,6,Tmax,17.395305805821597
1940,7,Tmax,22.0982614824849
1940,8,Tmax,20.22086142263107
1940,9,Tmax,15.09889841387351
1940,10,Tmax,7.094706676852342
1940,11,Tmax,-0.08903966103828376
1940,12,Tmax,-6.214716954385058
1941,1,Tmax,-8.56369924237649
1941,2,Tmax,-7.716896500125985
1941,3,Tmax,-2.5314648043724572
1941,4,Tmax,3.7787660660282487
1941,5,Tmax,11.064961882560507
1941,6,Tmax,17.395305805821597
1941,7,Tmax,22.0982614824849
1941,8,Tmax,20.22086142263107
1941,9,Tmax,15.09889841387351
1941,10,Tmax,7.094706676852342
1941,11,Tmax,-0.08903966103828376
1941,12,Tmax,-6.214716954385058
1942,1,Tmax,-8.56369924237649
1942,2,Tmax,-7.716896500125985
1942,3,Tmax,-2.5314648043724572
1942,4,Tmax,3.7787660660282487
1942,5,Tmax,11.064961882560507
1942,6,Tmax,17.395305805821597
1942,7,Tmax,22.0982614824849
1942,8,Tmax,20.22086142263107
1942,9,Tmax,15.09889841387351
1942,10,Tmax,7.094706676852342
1942,11,Tmax,-0.08903966103828376
1942,12,Tmax,-6.214716954385058
1943,1,Tmax,-8.56369924237649
1943,2,Tmax,-7.716896500125985
1943,3,Tmax,-2.5314648043724572
1943,4,Tmax,3.7787660660282487
1943,5,Tmax,11.064961882560507
1943,6,Tmax,17.395305805821597
1943,7,Tmax,22.0982614824849
1943,8,Tmax,20.22086142263107
1943,9,Tmax,15.09889841387351
1943,10,Tmax,7.094706676852342
1943,11,Tmax,-0.08903966103828376
1943,12,Tmax,-6.214716954385058
1944,1,Tmax,-8.56369924237649
1944,2,Tmax,-7.716896500125985
1944,3,Tmax,-2.5314648043724572
1944,4,Tmax,3.7787660660282487
1944,5,Tmax,11.064961882560507
1944,6,Tmax,17.395305805821597
1944,7,Tmax,22.0982614824849
1944,8,Tmax,20.22086142263107
1944,9,Tmax,15.09889841387351
1944,10,Tmax,7.094706676852342
1944,11,Tmax,-0.08903966103828376
1944,12,Tmax,-6.214716954385058
1945,1,Tmax,-8.56369924237649
1945,2,Tmax,-7.716896500125985
1945,3,Tmax,-2.5314648043724572
1945,4,Tmax,3.7787660660282487
1945,5,Tmax,11.064961882560507
